country_name,disease_name,total_cases
Afghanistan,Measles,219564.0
Afghanistan,Pertussis,106727.0
Afghanistan,Diphtheria,16237.0
Afghanistan,Total tetanus,15958.0
Afghanistan,Poliomyelitis,11648.0
Afghanistan,Neonatal tetanus,5157.0
Afghanistan,Rubella,3428.0
Afghanistan,Congenital rubella syndrome,2100.0
Afghanistan,Invasive meningococcal disease,161.0
Afghanistan,Mumps,29.0
Afghanistan,Yellow fever,0.0
Afghanistan,Typhoid,0.0
Afghanistan,Japanese encephalitis,0.0
African Region,Measles,19292641.0
African Region,Typhoid,8993069.0
African Region,Pertussis,3320307.0
African Region,Mumps,1199448.0
African Region,Total tetanus,338040.0
African Region,Rubella,186745.0
African Region,Neonatal tetanus,142996.0
African Region,Diphtheria,119789.0
African Region,Poliomyelitis,69276.0
African Region,Invasive meningococcal disease,52240.0
African Region,Yellow fever,36957.0
African Region,Congenital rubella syndrome,574.0
African Region,Japanese encephalitis,9.0
Albania,Measles,145251.0
Albania,Mumps,13304.0
Albania,Pertussis,4055.0
Albania,Rubella,1812.0
Albania,Poliomyelitis,173.0
Albania,Diphtheria,168.0
Albania,Total tetanus,139.0
Albania,Neonatal tetanus,17.0
Albania,Congenital rubella syndrome,14.0
Albania,Yellow fever,0.0
Albania,Typhoid,0.0
Albania,Japanese encephalitis,0.0
Albania,Invasive meningococcal disease,0.0
Algeria,Measles,261703.0
Algeria,Pertussis,4988.0
Algeria,Rubella,3380.0
Algeria,Diphtheria,2369.0
Algeria,Total tetanus,1897.0
Algeria,Poliomyelitis,731.0
Algeria,Neonatal tetanus,352.0
Algeria,Mumps,94.0
Algeria,Yellow fever,0.0
Algeria,Typhoid,0.0
Algeria,Japanese encephalitis,0.0
Algeria,Congenital rubella syndrome,0.0
Algeria,Invasive meningococcal disease,
American Samoa,Measles,589.0
American Samoa,Pertussis,151.0
American Samoa,Total tetanus,1.0
American Samoa,Mumps,1.0
American Samoa,Yellow fever,0.0
American Samoa,Rubella,0.0
American Samoa,Poliomyelitis,0.0
American Samoa,Neonatal tetanus,0.0
American Samoa,Japanese encephalitis,0.0
American Samoa,Diphtheria,0.0
American Samoa,Congenital rubella syndrome,0.0
Andorra,Mumps,212.0
Andorra,Pertussis,59.0
Andorra,Rubella,23.0
Andorra,Poliomyelitis,22.0
Andorra,Measles,15.0
Andorra,Invasive meningococcal disease,2.0
Andorra,Yellow fever,0.0
Andorra,Typhoid,0.0
Andorra,Total tetanus,0.0
Andorra,Neonatal tetanus,0.0
Andorra,Japanese encephalitis,0.0
Andorra,Diphtheria,0.0
Andorra,Congenital rubella syndrome,0.0
Angola,Typhoid,2547823.0
Angola,Measles,376553.0
Angola,Pertussis,279782.0
Angola,Total tetanus,30102.0
Angola,Neonatal tetanus,13508.0
Angola,Poliomyelitis,2053.0
Angola,Rubella,1127.0
Angola,Yellow fever,925.0
Angola,Diphtheria,511.0
Angola,Mumps,23.0
Angola,Japanese encephalitis,0.0
Angola,Congenital rubella syndrome,0.0
Angola,Invasive meningococcal disease,
Anguilla,Measles,26.0
Anguilla,Total tetanus,1.0
Anguilla,Yellow fever,0.0
Anguilla,Typhoid,0.0
Anguilla,Rubella,0.0
Anguilla,Poliomyelitis,0.0
Anguilla,Pertussis,0.0
Anguilla,Neonatal tetanus,0.0
Anguilla,Mumps,0.0
Anguilla,Invasive meningococcal disease,0.0
Anguilla,Diphtheria,0.0
Anguilla,Congenital rubella syndrome,0.0
Anguilla,Japanese encephalitis,
Antigua and Barbuda,Measles,2551.0
Antigua and Barbuda,Pertussis,1010.0
Antigua and Barbuda,Total tetanus,6.0
Antigua and Barbuda,Yellow fever,0.0
Antigua and Barbuda,Typhoid,0.0
Antigua and Barbuda,Rubella,0.0
Antigua and Barbuda,Poliomyelitis,0.0
Antigua and Barbuda,Neonatal tetanus,0.0
Antigua and Barbuda,Mumps,0.0
Antigua and Barbuda,Japanese encephalitis,0.0
Antigua and Barbuda,Invasive meningococcal disease,0.0
Antigua and Barbuda,Diphtheria,0.0
Antigua and Barbuda,Congenital rubella syndrome,0.0
Argentina,Measles,190908.0
Argentina,Mumps,158909.0
Argentina,Pertussis,133102.0
Argentina,Rubella,97369.0
Argentina,Total tetanus,1880.0
Argentina,Diphtheria,347.0
Argentina,Invasive meningococcal disease,176.0
Argentina,Neonatal tetanus,163.0
Argentina,Poliomyelitis,75.0
Argentina,Yellow fever,15.0
Argentina,Typhoid,1.0
Argentina,Congenital rubella syndrome,1.0
Argentina,Japanese encephalitis,
Armenia,Rubella,23553.0
Armenia,Mumps,18746.0
Armenia,Measles,9684.0
Armenia,Pertussis,1960.0
Armenia,Diphtheria,112.0
Armenia,Total tetanus,32.0
Armenia,Poliomyelitis,12.0
Armenia,Invasive meningococcal disease,9.0
Armenia,Neonatal tetanus,1.0
Armenia,Yellow fever,0.0
Armenia,Typhoid,0.0
Armenia,Japanese encephalitis,0.0
Armenia,Congenital rubella syndrome,0.0
Aruba,Mumps,9.0
Aruba,Pertussis,3.0
Aruba,Invasive meningococcal disease,3.0
Aruba,Measles,1.0
Aruba,Yellow fever,0.0
Aruba,Typhoid,0.0
Aruba,Total tetanus,0.0
Aruba,Rubella,0.0
Aruba,Poliomyelitis,0.0
Aruba,Neonatal tetanus,0.0
Aruba,Diphtheria,0.0
Aruba,Congenital rubella syndrome,0.0
Aruba,Japanese encephalitis,
Australia,Pertussis,345836.0
Australia,Measles,18934.0
Australia,Mumps,6152.0
Australia,Rubella,1699.0
Australia,Typhoid,942.0
Australia,Invasive meningococcal disease,436.0
Australia,Diphtheria,347.0
Australia,Total tetanus,247.0
Australia,Japanese encephalitis,58.0
Australia,Congenital rubella syndrome,11.0
Australia,Poliomyelitis,1.0
Australia,Yellow fever,0.0
Australia,Neonatal tetanus,0.0
Austria,Pertussis,18200.0
Austria,Measles,1860.0
Austria,Rubella,361.0
Austria,Diphtheria,77.0
Austria,Invasive meningococcal disease,33.0
Austria,Typhoid,25.0
Austria,Poliomyelitis,1.0
Austria,Congenital rubella syndrome,1.0
Austria,Yellow fever,0.0
Austria,Total tetanus,0.0
Austria,Neonatal tetanus,0.0
Austria,Japanese encephalitis,0.0
Austria,Mumps,
Azerbaijan,Measles,44874.0
Azerbaijan,Mumps,26051.0
Azerbaijan,Rubella,10378.0
Azerbaijan,Diphtheria,2273.0
Azerbaijan,Pertussis,1169.0
Azerbaijan,Total tetanus,174.0
Azerbaijan,Poliomyelitis,133.0
Azerbaijan,Neonatal tetanus,13.0
Azerbaijan,Congenital rubella syndrome,1.0
Azerbaijan,Yellow fever,0.0
