country_name,avg_coverage,total_incidence
Morocco,114.39320036264733,41138200.0
Montserrat,97.18380835380836,710650.5
Monaco,96.45953002610966,8604772.0
Hungary,96.09910656620022,3410973.4
"occupied Palestinian territory, including east Jerusalem",95.97766621438262,2511603.6
Cuba,95.89575782537068,12464355.2
Turkmenistan,95.49090551181104,8865150.8
Saint Kitts and Nevis,94.926122840691,55748265.3
Slovakia,93.89379032258064,5472654.0
Albania,93.8614378554021,98606632.5
Andorra,93.38637065637066,9658833.0
Tokelau,93.36183953033269,49201438.6
Brunei Darussalam,93.25747906976744,38486825.3
Anguilla,93.11082494969818,2979558.4
China,92.97956085319949,25425967.2
Poland,92.86792766373411,54082788.0
Tonga,92.82762331838565,114032490.0
Czechia,92.59828267477204,9278416.6
Norway,92.27532367149759,47651155.3
Oman,92.20441222570534,250110888.4
Chile,92.01392109500806,33614244.7
Saudi Arabia,91.97179712460064,88807018.5
Saint Vincent and the Grenadines,91.92749757516974,20476537.2
Nicaragua,91.89823981552651,12903675.200000001
Russian Federation,91.65862232779098,43480130.4
French Polynesia,91.51266666666666,47691159.6
Finland,91.2941506849315,13904136.5
Tajikistan,91.06358627858629,20362121.1
Seychelles,90.98472089314195,37173564.3
Kazakhstan,90.9761218836565,24738978.0
Antigua and Barbuda,90.87561298076923,100173095.0
Uzbekistan,90.84807347670251,6678824.2
Mongolia,90.76327898550724,125552462.4
New Caledonia,90.64485294117647,23777853.599999998
Sri Lanka,90.5616596461668,15612271.5
United Arab Emirates,90.46685059422751,40354560.0
Aruba,90.33642241379312,70106.40000000001
Kuwait,90.29703629032258,13748675.5
Niue,90.29447552447552,158223717.9
Libya,90.27448579823702,15282645.6
Republic of Korea,90.17644773358,9420499.2
Denmark,90.12013347022587,82063491.3
Israel,90.03905427631578,19366245.0
Bulgaria,90.01038336052203,36347382.6
Qatar,89.90966426858513,72030075.2
Iceland,89.89707212055974,20444580.4
Croatia,89.79303162486369,6690364.2
Netherlands (Kingdom of the),89.7262239089184,17882667.0
"China, Hong Kong SAR",89.49095238095238,3641804.4
Wallis and Futuna,89.48443478260869,36854122.4
Japan,89.47319025522042,32151456.599999998
Egypt,89.47076254826256,8762409.6
Bahrain,89.35440569395018,39488232.0
Portugal,89.29890041493776,7375838.8
Spain,89.11767371601209,86236640.0
Singapore,89.10801928133216,17367079.2
Sint Maarten (Dutch part),89.09803921568627,3452.4
Tuvalu,89.08956124314442,267695659.2
Cook Islands,89.08421052631579,209730852.1
Kyrgyzstan,89.07875961538461,21347508.0
Maldives,89.06298214285714,160517800.0
Latvia,88.94439065108514,14877366.4
Malaysia,88.89352088661552,12596759.6
Costa Rica,88.88261551155115,18877773.2
Serbia,88.54781285231117,65143811.2
Tunisia,88.50422123893806,13803498.3
Dominica,88.49114414414414,12985252.7
Australia,88.40241648106904,30596804.5
Belgium,87.7827135678392,38671200.0
Uruguay,87.50999159663866,26612890.2
Luxembourg,87.36581102362204,5951002.2
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),87.35283464566929,9557.1
Lithuania,87.26451033243485,7593250.0
"China, Macao SAR",87.17254752851711,9726888.6
Romania,86.9663570566948,80748222.8
Armenia,86.8244783010157,30078690.6
Honduras,86.81077770130763,33105185.599999998
Palau,86.79852189781022,10308910.1
Algeria,86.49476076555024,18992555.8
Rwanda,86.3560628465804,155743343.9
Nauru,86.34096695226438,99130886.8
Iran (Islamic Republic of),86.21648535564854,20687322.4
Fiji,86.19125641025641,31364626.2
Cabo Verde,86.18616379310345,168093233.4
Mauritius,85.9083104631218,2200030.2
North Macedonia,85.69816916488223,21697056.4
Guyana,85.57944734876774,16064755.2
Cayman Islands,85.55627272727273,2213455.3
United Republic of Tanzania,85.42053285968028,79532539.2
Türkiye,85.42035323801514,19560458.0
Republic of Moldova,85.30972338642079,39915392.0
Jordan,85.30429744525549,42331464.0
Gambia,85.23752959747435,33840353.7
Belarus,85.15536458333334,30835701.4
Estonia,84.94975442043221,14710138.1
Mexico,84.8504694167852,11197807.6
Azerbaijan,84.81445269016699,17793766.0
Saint Lucia,84.76560491493385,46070116.6
Slovenia,84.56032863849765,5636317.6
Sweden,84.47417452830189,42062740.5
Malta,84.18869168356999,33671631.3
British Virgin Islands,84.12565420560749,16815060.8
Greece,83.92778963414634,17470851.5
Canada,83.76598214285714,13193580.0
Curaçao,83.5049504950495,8463.0
Switzerland,83.28433874709977,62357836.8
Sao Tome and Principe,83.08232421875,60311409.6
Cyprus,82.92524495677233,1540435.0
United States of America,82.8612044198895,3615474.5
Thailand,82.57336643495532,27957604.7
Viet Nam,82.37124731182796,49305878.4
Panama,82.3259694850604,33201958.4
Democratic People's Republic of Korea,82.21695481335954,3168474.4
Malawi,82.04233449477353,384853455.0
Belize,81.9826093874304,20883997.599999998
Barbados,81.9561909448819,2060685.3
Turks and Caicos Islands,81.89504761904762,17743413.7
Bhutan,81.88649476228848,245395758.6
Ireland,81.79188657407407,40666749.2
El Salvador,81.75688618468146,21239358.0
United Kingdom of Great Britain and Northern Ireland,81.74934535104364,47209475.8
Argentina,81.65330763840225,32891495.4
Brazil,81.46130779392338,19674087.4
Italy,81.44391003460207,35180970.0
Germany,81.17861861861861,3950708.3
Botswana,81.12153218495013,89901084.0
New Zealand,80.87124760076776,26567362.8
Colombia,80.37471362738644,23454087.0
Georgia,80.36279756733276,24291634.3
Grenada,80.3605382131324,42639406.9
Bangladesh,80.35396135265701,14432372.6
San Marino,80.18032115171651,11341083.6
Burundi,80.09214221422143,231275000.0
Bahamas,80.00604184829992,29861627.4
Zambia,79.97568780487805,261596458.8
Trinidad and Tobago,79.78041034790367,34654630.2
Benin,79.70271153846154,81650942.4
France,79.52767220902612,21953481.3
Eswatini,79.12608735213831,229721632.4
Zimbabwe,79.01234703196347,100685241.6
Bosnia and Herzegovina,78.60889714993804,19630912.4
Jamaica,78.3493678665496,17639608.5
Ghana,77.8097387755102,181045920.0
Ecuador,77.59475552578701,16813879.0
Sierra Leone,77.52360917248255,76152741.0
Samoa,77.4898457087753,110579086.2
Burkina Faso,77.418802559415,115171886.4
Namibia,76.9692190889371,90489865.5
Kiribati,76.54298664122138,375229848.8
Montenegro,76.31020134228189,2044930.8
Bermuda,76.16464968152867,2758549.8
Timor-Leste,76.08603197674418,2353965.9
Cambodia,76.00098451327433,221464747.0
Austria,75.93146373056994,4405297.2
Lebanon,75.8285886214442,5578507.6
South Africa,75.67664166666667,15096721.4
Senegal,75.65273056057866,119302755.0
Ukraine,75.39905125408941,34386734.0
Mozambique,75.25956790123458,48032316.5
Peru,75.11377837116156,22385245.4
Dominican Republic,74.92468005952381,23599674.0
Guam,74.62363281249999,12042745.200000001
Syrian Arab Republic,74.3604326923077,16174884.0
Suriname,74.29357715430861,11306130.9
Nepal,74.29260018639329,73349610.3
Guatemala,73.80036431226766,13084074.4
Eritrea,73.4091815320042,27986449.4
India,73.30756398940865,17663608.8
Togo,72.97073868882732,158308930.5
Marshall Islands,72.88701915070774,66483435.199999996
Uganda,72.57834905660377,77816044.9
Micronesia (Federated States of),72.29696601941748,35894441.8
Lesotho,71.5874028436019,93596852.0
Bolivia (Plurinational State of),71.31563012677107,22873856.4
Solomon Islands,71.07147918511957,174608226.8
Kenya,70.77634168157424,246640520.0
Iraq,70.7352862745098,82857671.5
Paraguay,70.67648943918427,15769783.0
Indonesia,70.49315485996705,17089748.5
Comoros,70.37563636363636,26460682.5
Northern Mariana Islands,69.86124542124541,4347805.5
Congo,69.2904644549763,137429682.6
Myanmar,69.21328139321723,22313336.1
Côte d'Ivoire,68.9394459582198,92281020.0
Mali,68.26559817351598,70568172.4
Sudan,67.87039575289575,61959336.5
Madagascar,67.83849074975657,230959583.8
Djibouti,67.83604914933838,54163762.4
Vanuatu,67.3911388286334,152964075.6
Pakistan,66.81893911439114,20901318.9
Developed economy,66.71939736346516,
Guinea-Bissau,66.66279916753382,90870707.2
Mauritania,66.44302208835342,193964156.6
American Samoa,66.01277173913044,6963567.0
Philippines,65.51724196277496,37837346.4
High income: oecd,65.49646643109541,
Liberia,65.32900205761317,78969067.2
Cameroon,65.05889990982867,100558285.6
Guinea,64.6297175141243,61188803.2
Developed countries,64.20494699646643,
Gabon,63.94281690140845,128511453.60000001
High income,63.41287284144427,
Venezuela (Bolivarian Republic of),62.81458271236959,44334621.2
Niger,62.67682624113475,250722234.0
Region of the Americas,62.58712715855573,5126703.4
Lao People's Democratic Republic,61.61996265172736,30561273.4
Democratic Republic of the Congo,61.45849289099526,106754114.6
Haiti,60.79628834355828,10085985.0
Ethiopia,59.601614135625596,34293435.0
Yemen,59.29480301760268,97172066.4
European Region,58.98504983388705,16332994.0
Latin America and the Caribbean,58.68802698145025,
Economy in transition,57.32965009208103,
High income: non oecd,56.63579277864992,
South Sudan,56.548680203045684,32076842.8
Angola,56.49424454148472,270531970.2
Afghanistan,56.07267116682739,52187896.9
Central and Eastern Europe and the Commonwealth of Independent States,55.59540636042403,
Chad,53.703845291479816,92267920.5
Gavi 5.0 no,53.69814502529511,
Equatorial Guinea,53.039867374005304,145254779.7
Upper middle income,52.94505494505494,
Central African Republic,52.42754385964912,80626078.0
Papua New Guinea,51.26802264808362,135116026.5
Western Pacific Region,51.18688524590164,11502282.0
Nigeria,49.69649033570702,80878622.0
Middle East and North Africa,48.447587354409315,
East Asia and the Pacific,47.669611307420496,
,45.797077922077925,
Global,45.034108527131785,15574557.0
Middle income,44.686821705426354,
Developing,43.949826989619375,
Eastern Mediterranean Region,42.734883720930235,12889615.5
Somalia,41.20298527443106,29900543.4
South-East Asia Region,40.19344262295082,8727026.0
Lower middle income,39.4015503875969,
Eastern and Southern Africa,36.28452579034942,
South Asia,36.185512367491164,
African Region,35.13178294573643,47763153.0
Least developed,34.46193771626297,
Gavi 5.0 yes,34.42595673876872,
Low income,33.52248062015504,
West and Central Africa,29.15973377703827,
