year,total_incidence
,
1980.0,679703.5
1981.0,531185.7
1982.0,500462.7
1983.0,416720.0
1984.0,374632.2
1985.0,414174.5
1986.0,235640.5
1987.0,244949.9
1988.0,182412.19999999998
1989.0,304503.3
1990.0,179662.9
1991.0,172551.2
1992.0,179913.7
1993.0,114670.4
1994.0,91420.9
1995.0,76391.8
1996.0,75483.7
1997.0,124356.1
1998.0,77961.3
1999.0,177197.4
2000.0,110690.4
2001.0,111286.6
2002.0,77928.4
2003.0,116710.8
2004.0,65331.2
2005.0,69568.6
2006.0,53642.6
2007.0,56516.9
2008.0,55080.2
2009.0,56936.299999999996
2010.0,57484.1
2011.0,43833.3
2012.0,35369.8
2013.0,26730.8
2014.0,22742.8
2015.0,41036.3
2016.0,34172.2
2017.0,30102.2
2018.0,36090.7
2019.0,84683.6
2020.0,60492.4
2021.0,75388.6
2022.0,99924.2
2023.0,164556.8
