country_name,vaccine_name,avg_coverage,total_incidence,coverage_to_incidence_ratio
Sint Maarten (Dutch part),"Pertussis-containing vaccine, 4th dose (1st booster)",86.0,50.4,1.7063492063492065
Sint Maarten (Dutch part),"Tetanus-containing vaccine, 4th dose (1st booster)",86.0,50.4,1.7063492063492065
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Inactivated polio-containing vaccine, 2nd dose",88.74,57.400000000000006,1.5459930313588848
Sint Maarten (Dutch part),"Diphtheria-containing vaccine, 4th dose (1st booster)",86.0,75.6,1.1375661375661377
Sint Maarten (Dutch part),"DTP-containing vaccine, 3rd dose",94.5,100.8,0.9375
Sint Maarten (Dutch part),"Hib, 3rd dose",94.5,100.8,0.9375
Sint Maarten (Dutch part),"Polio, 3rd dose",94.5,100.8,0.9375
Sint Maarten (Dutch part),"DTP-containing vaccine, 1st dose",91.0,100.8,0.9027777777777778
Sint Maarten (Dutch part),"Inactivated polio-containing vaccine, 1st dose",91.0,100.8,0.9027777777777778
Sint Maarten (Dutch part),"HepB, 3rd dose",89.0,100.8,0.8829365079365079
Sint Maarten (Dutch part),"Measles-containing vaccine, 1st dose",88.0,100.8,0.873015873015873
Sint Maarten (Dutch part),"Pneumococcal conjugate vaccine, final dose",88.0,100.8,0.873015873015873
Sint Maarten (Dutch part),"Rubella-containing vaccine, 1st dose",88.0,100.8,0.873015873015873
Sint Maarten (Dutch part),"Pneumococcal conjugate vaccine, 1st dose",86.0,100.8,0.8531746031746033
Sint Maarten (Dutch part),"Pneumococcal conjugate vaccine, 2nd dose",81.0,100.8,0.8035714285714286
Curaçao,"Pertussis-containing vaccine, 4th dose (1st booster)",80.5,156.0,0.5160256410256411
Curaçao,"Tetanus-containing vaccine, 4th dose (1st booster)",80.5,156.0,0.5160256410256411
Curaçao,"Diphtheria-containing vaccine, 6th dose (3rd booster)",66.0,156.0,0.4230769230769231
Curaçao,"Tetanus-containing vaccine, 6th dose (3rd booster)",66.0,156.0,0.4230769230769231
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Tetanus-containing vaccine, 6th dose (3rd booster)",94.312,229.60000000000002,0.41076655052264804
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"HepB, birth dose total (including those given within and after 24 hours of birth)",94.19,229.60000000000002,0.4102351916376306
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Inactivated polio-containing vaccine, 1st dose",93.82,229.60000000000002,0.4086236933797909
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"DTP-containing vaccine, 1st dose",93.80571428571429,229.60000000000002,0.4085614733698357
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),BCG (Baccille Calmette Guérin) vaccine,93.77714285714286,229.60000000000002,0.4084370333499253
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Fractional inactivated polio-containing vaccine, 1st dose",93.77,229.60000000000002,0.4084059233449477
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Diphtheria-containing vaccine, 5th dose (2nd booster)",93.69600000000001,229.60000000000002,0.4080836236933798
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Tetanus-containing vaccine, 5th dose (2nd booster)",93.69600000000001,229.60000000000002,0.4080836236933798
Curaçao,"DTP-containing vaccine, 1st dose",95.33333333333333,234.0,0.4074074074074074
Curaçao,"Inactivated polio-containing vaccine, 1st dose",95.33333333333333,234.0,0.4074074074074074
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"HepB, birth dose (given within 24 hours of birth)",93.204,229.60000000000002,0.4059407665505226
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Diphtheria-containing vaccine, 6th dose (3rd booster)",93.07999999999998,229.60000000000002,0.4054006968641114
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Measles-containing vaccine, 2nd dose",92.39857142857143,229.60000000000002,0.40243280238924833
Curaçao,"Diphtheria-containing vaccine, 4th dose (1st booster)",78.4,195.0,0.4020512820512821
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Rubella-containing vaccine, 1st dose",91.91571428571429,229.60000000000002,0.40032976605276255
Curaçao,"Pneumococcal conjugate vaccine, 1st dose",93.66666666666667,234.0,0.4002849002849003
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Fractional inactivated polio-containing vaccine, 2nd dose",91.45,229.60000000000002,0.398301393728223
Curaçao,"DTP-containing vaccine, 3rd dose",91.66666666666667,234.0,0.39173789173789175
Curaçao,"HepB, 3rd dose",91.66666666666667,234.0,0.39173789173789175
Curaçao,"Hib, 3rd dose",91.66666666666667,234.0,0.39173789173789175
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Polio, 3rd dose",89.65,229.60000000000002,0.3904616724738676
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"DTP-containing vaccine, 3rd dose",89.62428571428572,229.60000000000002,0.3903496764559482
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"HepB, 3rd dose",89.62428571428572,229.60000000000002,0.3903496764559482
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Hib, 3rd dose",89.62428571428572,229.60000000000002,0.3903496764559482
Curaçao,"Pneumococcal conjugate vaccine, 2nd dose",91.33333333333333,234.0,0.3903133903133903
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Measles-containing vaccine, 1st dose",89.58714285714287,229.60000000000002,0.3901879044300647
Curaçao,"Polio, 3rd dose",90.66666666666667,234.0,0.3874643874643875
Curaçao,"Diphtheria-containing vaccine, 5th dose (2nd booster)",60.0,156.0,0.38461538461538464
Curaçao,"Tetanus-containing vaccine, 5th dose (2nd booster)",60.0,156.0,0.38461538461538464
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Pertussis-containing vaccine, 4th dose (1st booster)",85.96600000000001,229.60000000000002,0.3744163763066202
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),"Tetanus-containing vaccine, 4th dose (1st booster)",85.96600000000001,229.60000000000002,0.3744163763066202
Curaçao,"Measles-containing vaccine, 1st dose",86.33333333333333,234.0,0.36894586894586895
