country_name,vaccine_name,avg_coverage,total_cases
Morocco,Influenza travellers (incl. Hajj pilgrimage),16050.0,1075764.0
Anguilla,"HPV Female, final dose",637.8050000000001,324.0
Guatemala,Influenza child age group 1,444.3266666666666,349326.0
Marshall Islands,"Vitamin A, 1st dose",377.87333333333333,111606.0
Micronesia (Federated States of),"Vitamin A, 1st dose",336.50899999999996,147288.0
Eswatini,Yellow fever vaccine,304.5,7075200.0
Honduras,Influenza chronic pediatric,294.854,548190.0
Honduras,Influenza chronic adult,253.65,548190.0
Honduras,Influenza chronic children and adults,225.596,456825.0
Wallis and Futuna,"Pneumococcal conjugate vaccine, 2nd dose",173.0,4795.0
Bolivia (Plurinational State of),Influenza chronic adult,166.84,523698.0
Mexico,Influenza other,163.392,3020328.0
Wallis and Futuna,"Inactivated polio-containing vaccine, 1st dose",153.0,4795.0
Bolivia (Plurinational State of),Influenza chronic children and adults,149.332,436415.0
Dominican Republic,Influenza chronic adult,140.7,527130.0
Ecuador,Influenza chronic adult,131.25333333333333,562872.0
Dominican Republic,Influenza other,124.18333333333334,527130.0
Nicaragua,"Diphtheria-containing vaccine, 6th dose (3rd booster)",123.945,310500.0
Nicaragua,"Tetanus-containing vaccine, 6th dose (3rd booster)",123.945,310500.0
Saint Vincent and the Grenadines,"Diphtheria-containing vaccine, 6th dose (3rd booster)",123.72999999999999,13692.0
Saint Vincent and the Grenadines,"Tetanus-containing vaccine, 6th dose (3rd booster)",121.48333333333335,13692.0
El Salvador,Influenza health care workers,120.81,329436.0
Honduras,Influenza residents living in long term care facilities,120.0,548190.0
Seychelles,"HPV Female, final dose",119.88499999999999,17244.0
Nicaragua,"Tetanus-containing vaccine, 5th dose (2nd booster)",117.79,310500.0
Wallis and Futuna,"Pneumococcal conjugate vaccine, 1st dose",117.656,7535.0
Nicaragua,"Diphtheria-containing vaccine, 5th dose (2nd booster)",116.70500000000001,310500.0
Cuba,Protection at birth (PAB) against neonatal tetanus,116.231,1220009.0
Guatemala,Influenza residents living in long term care facilities,113.73333333333333,349326.0
Chile,Influenza chronic children and adults,112.874,1256195.0
Japan,Japanese encephalitis,112.69857142857144,68059470.0
Ecuador,Influenza chronic pediatric,112.40666666666667,562872.0
Japan,"Japanese encephalitis vaccine, 1st dose",110.4575,13611894.0
Mexico,Influenza chronic pediatric,109.3,3020328.0
Bangladesh,"Pneumococcal conjugate vaccine, 1st dose",109.07428571428571,26477728.0
Chile,Influenza health care workers,108.94666666666667,1507434.0
Montserrat,"Rubella-containing vaccine, 1st dose",108.12166666666666,120.0
Montserrat,"Polio, 3rd dose",107.82280701754387,580.0
Peru,"HPV Male, final dose",107.37999999999998,2745792.0
Bangladesh,"Pneumococcal conjugate vaccine, 2nd dose",106.36857142857143,19858296.0
Nepal,"Vitamin A, 1st dose",105.8548148148148,68576368.0
Montserrat,"Pneumococcal conjugate vaccine, 1st dose",105.834,120.0
Nicaragua,"Pneumococcal conjugate vaccine, 1st dose",105.69500000000001,828000.0
Nicaragua,"Pneumococcal conjugate vaccine, 2nd dose",105.61625,621000.0
Montserrat,"Pneumococcal conjugate vaccine, 2nd dose",104.702,120.0
Montserrat,"Pneumococcal conjugate vaccine, final dose",104.69,120.0
Malaysia,"Pneumococcal conjugate vaccine, 1st dose",104.53,3717344.0
Cabo Verde,"HPV Female, final dose",104.41,395480.0
Montserrat,"Hib, 3rd dose",104.215,380.0
Nicaragua,Influenza health care workers,103.96833333333333,155250.0
Nicaragua,"Rotavirus, 1st dose",103.87593749999999,828000.0
Benin,Meningococcal B vaccine,103.86,417132.0
Malaysia,"Pneumococcal conjugate vaccine, 2nd dose",103.70000000000002,2788008.0
United Arab Emirates,"Pneumococcal conjugate vaccine, 2nd dose",103.5495652173913,932052.0
Nicaragua,"Rubella-containing vaccine, 1st dose",103.48083333333334,2044125.0
Chile,Influenza other,103.27666666666667,1507434.0
Mozambique,"Pneumococcal conjugate vaccine, 1st dose",103.228125,11237056.0
Mexico,Influenza chronic children and adults,102.164,2516940.0
Mexico,Influenza chronic adult,102.08333333333333,3020328.0
United Arab Emirates,"Pneumococcal conjugate vaccine, 1st dose",102.07583333333334,1094148.0
United Republic of Tanzania,"Pneumococcal conjugate vaccine, 1st dose",101.94045454545454,40982400.0
Cabo Verde,"Fractional inactivated polio-containing vaccine, 1st dose",101.92999999999999,395480.0
Mexico,Influenza child age group 2,101.87833333333333,3020328.0
Nicaragua,"Pneumococcal conjugate vaccine, final dose",101.61564102564103,1242000.0
Nicaragua,Influenza chronic adult,101.61500000000001,155250.0
Montserrat,"HepB, 3rd dose",101.59642857142858,380.0
Saint Vincent and the Grenadines,"Diphtheria-containing vaccine, 5th dose (2nd booster)",101.495,13692.0
Maldives,"Diphtheria-containing vaccine, 5th dose (2nd booster)",101.49499999999999,259392.0
Maldives,"Tetanus-containing vaccine, 5th dose (2nd booster)",101.49499999999999,259392.0
Bangladesh,"Fractional inactivated polio-containing vaccine, 1st dose",101.28399999999999,9929148.0
Japan,"Pneumococcal conjugate vaccine, 1st dose",101.123125,72596768.0
Nicaragua,Influenza chronic children and adults,101.062,129375.0
Cambodia,Japanese encephalitis,100.89666666666666,22595776.0
Japan,"Diphtheria-containing vaccine, 4th dose (1st booster)",100.86200000000001,27223788.0
Japan,"Pertussis-containing vaccine, 4th dose (1st booster)",100.852,27223788.0
Japan,"Tetanus-containing vaccine, 4th dose (1st booster)",100.852,27223788.0
Timor-Leste,"Diphtheria-containing vaccine, 4th dose (1st booster)",100.82818181818182,21168.0
Haiti,"Pneumococcal conjugate vaccine, 1st dose",100.71166666666667,1143648.0
United Arab Emirates,"Pneumococcal conjugate vaccine, final dose",100.5892105263158,1742532.0
Mexico,Influenza health care workers,100.50166666666667,3020328.0
Cabo Verde,"Pneumococcal conjugate vaccine, 2nd dose",100.5,870056.0
United Republic of Tanzania,"Rotavirus, 1st dose",100.49681818181818,40982400.0
Saint Vincent and the Grenadines,"Tetanus-containing vaccine, 5th dose (2nd booster)",100.48,13692.0
Cambodia,"Pneumococcal conjugate vaccine, 1st dose",100.38416666666667,22595776.0
