country_name,vaccine_name,missing_data_count
Denmark,"HepB, 3rd dose",106
Iceland,"HepB, 3rd dose",103
Hungary,"HepB, 3rd dose",102
China,"Hib, 3rd dose",101
Finland,"HepB, 3rd dose",99
Ethiopia,Yellow fever vaccine,95
Central African Republic,"Measles-containing vaccine, 2nd dose",93
Gabon,"Measles-containing vaccine, 2nd dose",93
Benin,"Measles-containing vaccine, 2nd dose",92
Thailand,"Hib, 3rd dose",91
Democratic Republic of the Congo,"Measles-containing vaccine, 2nd dose",90
Mauritania,"Measles-containing vaccine, 2nd dose",90
Norway,"HepB, 3rd dose",90
United Kingdom of Great Britain and Northern Ireland,"HepB, 3rd dose",90
Burundi,Yellow fever vaccine,88
Grenada,BCG (Baccille Calmette Guérin) vaccine,88
Guinea-Bissau,"Measles-containing vaccine, 2nd dose",88
Sudan,Yellow fever vaccine,88
Suriname,BCG (Baccille Calmette Guérin) vaccine,88
Uganda,"Measles-containing vaccine, 2nd dose",88
Uganda,Yellow fever vaccine,88
Vanuatu,"Measles-containing vaccine, 2nd dose",88
Antigua and Barbuda,BCG (Baccille Calmette Guérin) vaccine,87
Chad,"Measles-containing vaccine, 2nd dose",87
Guinea,"Measles-containing vaccine, 2nd dose",87
Japan,"HepB, 3rd dose",87
Mauritania,Yellow fever vaccine,87
Russian Federation,"Hib, 3rd dose",87
Somalia,"Measles-containing vaccine, 2nd dose",86
Trinidad and Tobago,BCG (Baccille Calmette Guérin) vaccine,86
United Republic of Tanzania,Yellow fever vaccine,86
Comoros,"Measles-containing vaccine, 2nd dose",85
Afghanistan,"Rubella-containing vaccine, 1st dose",84
Central African Republic,"Rubella-containing vaccine, 1st dose",84
Chad,"Rubella-containing vaccine, 1st dose",84
Democratic Republic of the Congo,"Rubella-containing vaccine, 1st dose",84
Equatorial Guinea,"Rubella-containing vaccine, 1st dose",84
Gabon,"Rubella-containing vaccine, 1st dose",84
Guinea,"Rubella-containing vaccine, 1st dose",84
Somalia,"Rubella-containing vaccine, 1st dose",84
Djibouti,"Rubella-containing vaccine, 1st dose",83
Ethiopia,"Rubella-containing vaccine, 1st dose",83
Guinea-Bissau,"Rubella-containing vaccine, 1st dose",83
Ireland,"Measles-containing vaccine, 2nd dose",83
Madagascar,"Rubella-containing vaccine, 1st dose",83
Mali,"Rubella-containing vaccine, 1st dose",83
Rwanda,Yellow fever vaccine,83
Bahamas,BCG (Baccille Calmette Guérin) vaccine,82
Equatorial Guinea,"Measles-containing vaccine, 2nd dose",82
Somalia,"HepB, 3rd dose",82
Somalia,Yellow fever vaccine,82
South Africa,"Rubella-containing vaccine, 1st dose",82
Cameroon,"Measles-containing vaccine, 2nd dose",81
Nigeria,"Rubella-containing vaccine, 1st dose",81
Sudan,"Rubella-containing vaccine, 1st dose",81
Côte d'Ivoire,"Measles-containing vaccine, 2nd dose",80
Madagascar,"Measles-containing vaccine, 2nd dose",80
Mali,"Measles-containing vaccine, 2nd dose",80
Niger,"Rubella-containing vaccine, 1st dose",80
Congo,"Measles-containing vaccine, 2nd dose",79
Liberia,"Rubella-containing vaccine, 1st dose",78
Sierra Leone,"Rubella-containing vaccine, 1st dose",78
United States of America,BCG (Baccille Calmette Guérin) vaccine,78
Ethiopia,"Measles-containing vaccine, 2nd dose",77
Somalia,"Hib, 3rd dose",77
Barbados,BCG (Baccille Calmette Guérin) vaccine,76
Comoros,"Rubella-containing vaccine, 1st dose",76
Switzerland,"HepB, 3rd dose",76
Democratic People's Republic of Korea,"Rubella-containing vaccine, 1st dose",75
Dominican Republic,"Measles-containing vaccine, 2nd dose",75
Honduras,"Measles-containing vaccine, 2nd dose",75
Iran (Islamic Republic of),"Hib, 3rd dose",75
Italy,BCG (Baccille Calmette Guérin) vaccine,75
Nigeria,"Measles-containing vaccine, 2nd dose",75
Pakistan,"Rubella-containing vaccine, 1st dose",75
Togo,"Measles-containing vaccine, 2nd dose",74
Bolivia (Plurinational State of),"Measles-containing vaccine, 2nd dose",73
Cabo Verde,Yellow fever vaccine,73
Djibouti,"Measles-containing vaccine, 2nd dose",73
Egypt,"Hib, 3rd dose",73
Mozambique,"Measles-containing vaccine, 2nd dose",73
Bahamas,"HepB, birth dose (given within 24 hours of birth)",72
Bangladesh,"HepB, birth dose (given within 24 hours of birth)",72
Barbados,"HepB, birth dose (given within 24 hours of birth)",72
Burundi,"HepB, birth dose (given within 24 hours of birth)",72
Cameroon,"HepB, birth dose (given within 24 hours of birth)",72
Canada,"HepB, birth dose (given within 24 hours of birth)",72
Comoros,"HepB, birth dose (given within 24 hours of birth)",72
Congo,"HepB, birth dose (given within 24 hours of birth)",72
Denmark,"HepB, birth dose (given within 24 hours of birth)",72
Equatorial Guinea,"HepB, birth dose (given within 24 hours of birth)",72
Finland,"Measles-containing vaccine, 2nd dose",72
Gabon,"HepB, birth dose (given within 24 hours of birth)",72
Ghana,"HepB, birth dose (given within 24 hours of birth)",72
Haiti,"HepB, 3rd dose",72
Haiti,"HepB, birth dose (given within 24 hours of birth)",72
Indonesia,"Hib, 3rd dose",72
Jamaica,"HepB, birth dose (given within 24 hours of birth)",72
Liberia,"Measles-containing vaccine, 2nd dose",72
Malawi,"HepB, birth dose (given within 24 hours of birth)",72
Mozambique,"HepB, birth dose (given within 24 hours of birth)",72
Namibia,"Measles-containing vaccine, 2nd dose",72
Nepal,"HepB, birth dose (given within 24 hours of birth)",72
Nicaragua,"HepB, birth dose (given within 24 hours of birth)",72
Norway,"HepB, birth dose (given within 24 hours of birth)",72
Rwanda,"HepB, birth dose (given within 24 hours of birth)",72
Sri Lanka,"HepB, birth dose (given within 24 hours of birth)",72
Sweden,"HepB, 3rd dose",72
Togo,"HepB, birth dose (given within 24 hours of birth)",72
Uganda,"HepB, birth dose (given within 24 hours of birth)",72
Uganda,"Rubella-containing vaccine, 1st dose",72
United Republic of Tanzania,"HepB, birth dose (given within 24 hours of birth)",72
Uruguay,"HepB, birth dose (given within 24 hours of birth)",72
Yemen,"HepB, birth dose (given within 24 hours of birth)",72
Belgium,"HepB, birth dose (given within 24 hours of birth)",71
Bolivia (Plurinational State of),"HepB, birth dose (given within 24 hours of birth)",71
Ethiopia,"HepB, birth dose (given within 24 hours of birth)",71
Germany,"HepB, birth dose (given within 24 hours of birth)",71
Lao People's Democratic Republic,"Measles-containing vaccine, 2nd dose",71
Madagascar,"HepB, birth dose (given within 24 hours of birth)",71
Mali,"HepB, birth dose (given within 24 hours of birth)",71
Sierra Leone,"HepB, birth dose (given within 24 hours of birth)",71
Singapore,"Hib, 3rd dose",71
Slovenia,"HepB, birth dose (given within 24 hours of birth)",71
Somalia,"HepB, birth dose (given within 24 hours of birth)",71
Sweden,"HepB, birth dose (given within 24 hours of birth)",71
Switzerland,"HepB, birth dose (given within 24 hours of birth)",71
Vanuatu,"Hib, 3rd dose",71
Australia,"HepB, birth dose (given within 24 hours of birth)",70
Botswana,"Hib, 3rd dose",70
Canada,BCG (Baccille Calmette Guérin) vaccine,70
Central African Republic,"HepB, birth dose (given within 24 hours of birth)",70
Chad,"HepB, birth dose (given within 24 hours of birth)",70
Democratic Republic of the Congo,"HepB, birth dose (given within 24 hours of birth)",70
Guinea,"HepB, birth dose (given within 24 hours of birth)",70
Maldives,"Hib, 3rd dose",70
Nicaragua,"Measles-containing vaccine, 2nd dose",70
Republic of Korea,"Hib, 3rd dose",70
Russian Federation,"HepB, birth dose (given within 24 hours of birth)",70
Solomon Islands,"Measles-containing vaccine, 2nd dose",70
Viet Nam,"Hib, 3rd dose",70
Zimbabwe,"Measles-containing vaccine, 2nd dose",70
Bangladesh,Yellow fever vaccine,69
Botswana,Yellow fever vaccine,69
Canada,"Measles-containing vaccine, 2nd dose",69
Congo,"Rubella-containing vaccine, 1st dose",69
Cyprus,"Measles-containing vaccine, 2nd dose",69
Czechia,"HepB, birth dose (given within 24 hours of birth)",69
Eswatini,"HepB, birth dose (given within 24 hours of birth)",69
France,"HepB, birth dose (given within 24 hours of birth)",69
Haiti,"Measles-containing vaccine, 2nd dose",69
Ireland,"HepB, birth dose (given within 24 hours of birth)",69
Jordan,"HepB, birth dose (given within 24 hours of birth)",69
Kenya,"HepB, birth dose (given within 24 hours of birth)",69
Malawi,Yellow fever vaccine,69
Mauritius,"HepB, birth dose (given within 24 hours of birth)",69
Mexico,Yellow fever vaccine,69
Mongolia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",69
Mongolia,Yellow fever vaccine,69
Mozambique,"Rubella-containing vaccine, 1st dose",69
Myanmar,"Hib, 3rd dose",69
Nepal,"Measles-containing vaccine, 2nd dose",69
Nepal,Yellow fever vaccine,69
Papua New Guinea,Yellow fever vaccine,69
Paraguay,"HepB, birth dose (given within 24 hours of birth)",69
Philippines,Yellow fever vaccine,69
Samoa,Yellow fever vaccine,69
Spain,"HepB, birth dose (given within 24 hours of birth)",69
Sri Lanka,Yellow fever vaccine,69
Sudan,"HepB, birth dose (given within 24 hours of birth)",69
Tunisia,Yellow fever vaccine,69
Tuvalu,Yellow fever vaccine,69
United Kingdom of Great Britain and Northern Ireland,"HepB, birth dose (given within 24 hours of birth)",69
Yemen,Yellow fever vaccine,69
Zimbabwe,"HepB, birth dose (given within 24 hours of birth)",69
Angola,"HepB, birth dose (given within 24 hours of birth)",68
Benin,"Rubella-containing vaccine, 1st dose",68
Bhutan,"Hib, 3rd dose",68
Bulgaria,"Vitamin A, 1st dose",68
China,"Vitamin A, 1st dose",68
Cyprus,BCG (Baccille Calmette Guérin) vaccine,68
Cyprus,"Vitamin A, 1st dose",68
Czechia,"Vitamin A, 1st dose",68
Democratic People's Republic of Korea,Yellow fever vaccine,68
Denmark,BCG (Baccille Calmette Guérin) vaccine,68
Denmark,"Vitamin A, 1st dose",68
Estonia,Yellow fever vaccine,68
Greece,"HepB, birth dose (given within 24 hours of birth)",68
Guinea-Bissau,"HepB, birth dose (given within 24 hours of birth)",68
Hungary,"HepB, birth dose (given within 24 hours of birth)",68
India,"Hib, 3rd dose",68
Indonesia,Yellow fever vaccine,68
Japan,"HepB, birth dose (given within 24 hours of birth)",68
Kiribati,"Hib, 3rd dose",68
Lebanon,"Vitamin A, 1st dose",68
Luxembourg,"Measles-containing vaccine, 2nd dose",68
Madagascar,Yellow fever vaccine,68
Malaysia,Yellow fever vaccine,68
Malta,"Vitamin A, 1st dose",68
Mauritania,"Vitamin A, 1st dose",68
Mauritius,"Vitamin A, 1st dose",68
Mozambique,Yellow fever vaccine,68
Norway,"Vitamin A, 1st dose",68
Rwanda,"Vitamin A, 1st dose",68
Serbia,"Vitamin A, 1st dose",68
Slovakia,"Vitamin A, 1st dose",68
Slovenia,"HepB, 3rd dose",68
Sweden,"Vitamin A, 1st dose",68
Syrian Arab Republic,Yellow fever vaccine,68
Tonga,"Vitamin A, 1st dose",68
Tunisia,"Vitamin A, 1st dose",68
Tuvalu,"Vitamin A, 1st dose",68
Türkiye,"Vitamin A, 1st dose",68
Belgium,"Vitamin A, 1st dose",67
Canada,"Vitamin A, 1st dose",67
China,Yellow fever vaccine,67
Croatia,"Vitamin A, 1st dose",67
Cyprus,"HepB, birth dose (given within 24 hours of birth)",67
Democratic People's Republic of Korea,"Hib, 3rd dose",67
Egypt,Yellow fever vaccine,67
Estonia,"Vitamin A, 1st dose",67
Finland,"HepB, birth dose (given within 24 hours of birth)",67
Germany,"Vitamin A, 1st dose",67
Greece,"Measles-containing vaccine, 2nd dose",67
Guatemala,"Measles-containing vaccine, 2nd dose",67
Guatemala,Yellow fever vaccine,67
Haiti,"Hib, 3rd dose",67
Hungary,Yellow fever vaccine,67
Iceland,"Vitamin A, 1st dose",67
Iran (Islamic Republic of),Yellow fever vaccine,67
Iraq,Yellow fever vaccine,67
Italy,"HepB, birth dose (given within 24 hours of birth)",67
Italy,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",67
Jamaica,Yellow fever vaccine,67
Jordan,Yellow fever vaccine,67
Kazakhstan,"Vitamin A, 1st dose",67
Kenya,"Rubella-containing vaccine, 1st dose",67
Lao People's Democratic Republic,Yellow fever vaccine,67
Lithuania,"Vitamin A, 1st dose",67
Luxembourg,"HepB, birth dose (given within 24 hours of birth)",67
Malaysia,"Vitamin A, 1st dose",67
Maldives,Yellow fever vaccine,67
Mauritius,Yellow fever vaccine,67
Myanmar,Yellow fever vaccine,67
Netherlands (Kingdom of the),BCG (Baccille Calmette Guérin) vaccine,67
Nicaragua,Yellow fever vaccine,67
Niger,"HepB, birth dose (given within 24 hours of birth)",67
Portugal,"Vitamin A, 1st dose",67
Republic of Korea,"Vitamin A, 1st dose",67
Romania,"Hib, 3rd dose",67
Romania,"Vitamin A, 1st dose",67
Russian Federation,"Vitamin A, 1st dose",67
Saint Kitts and Nevis,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",67
Samoa,"Vitamin A, 1st dose",67
Saudi Arabia,Yellow fever vaccine,67
Slovenia,"Vitamin A, 1st dose",67
South Africa,"HepB, birth dose (given within 24 hours of birth)",67
Switzerland,"Vitamin A, 1st dose",67
Tonga,Yellow fever vaccine,67
Trinidad and Tobago,"HepB, birth dose (given within 24 hours of birth)",67
Viet Nam,Yellow fever vaccine,67
Zimbabwe,Yellow fever vaccine,67
Afghanistan,Yellow fever vaccine,66
Andorra,"Vitamin A, 1st dose",66
Antigua and Barbuda,"HepB, birth dose (given within 24 hours of birth)",66
Armenia,"Vitamin A, 1st dose",66
Australia,"Vitamin A, 1st dose",66
Austria,"Vitamin A, 1st dose",66
Bahrain,"Vitamin A, 1st dose",66
Belgium,BCG (Baccille Calmette Guérin) vaccine,66
Botswana,"Measles-containing vaccine, 2nd dose",66
Botswana,"Rubella-containing vaccine, 1st dose",66
Cabo Verde,"Vitamin A, 1st dose",66
Cyprus,Yellow fever vaccine,66
Denmark,Yellow fever vaccine,66
Dominica,"Vitamin A, 1st dose",66
Equatorial Guinea,"HepB, 3rd dose",66
Haiti,Yellow fever vaccine,66
Hungary,"Vitamin A, 1st dose",66
Iran (Islamic Republic of),"Vitamin A, 1st dose",66
Jamaica,"Vitamin A, 1st dose",66
Kiribati,Yellow fever vaccine,66
Latvia,"Vitamin A, 1st dose",66
Lebanon,BCG (Baccille Calmette Guérin) vaccine,66
Malawi,"Measles-containing vaccine, 2nd dose",66
Mauritania,"Rubella-containing vaccine, 1st dose",66
Netherlands (Kingdom of the),"Vitamin A, 1st dose",66
Netherlands (Kingdom of the),Yellow fever vaccine,66
New Zealand,"Vitamin A, 1st dose",66
Nigeria,"Hib, 3rd dose",66
North Macedonia,"Vitamin A, 1st dose",66
Oman,Yellow fever vaccine,66
Pakistan,Yellow fever vaccine,66
Rwanda,"Measles-containing vaccine, 2nd dose",66
Saint Kitts and Nevis,Yellow fever vaccine,66
Saudi Arabia,"Vitamin A, 1st dose",66
Serbia,Yellow fever vaccine,66
Spain,BCG (Baccille Calmette Guérin) vaccine,66
Spain,"Vitamin A, 1st dose",66
Sweden,Yellow fever vaccine,66
Thailand,"Vitamin A, 1st dose",66
Thailand,Yellow fever vaccine,66
Türkiye,Yellow fever vaccine,66
Afghanistan,"Vitamin A, 1st dose",65
Angola,"Measles-containing vaccine, 2nd dose",65
Bahrain,Yellow fever vaccine,65
Bhutan,Yellow fever vaccine,65
Comoros,Yellow fever vaccine,65
Cuba,"Vitamin A, 1st dose",65
Djibouti,Yellow fever vaccine,65
