vaccine_name,avg_coverage
Influenza travellers (incl. Hajj pilgrimage),1817.2772222222222
"DTP-containing vaccine, 1st dose",89.7343323242516
"Pneumococcal conjugate vaccine, 1st dose",87.77197085127526
"Inactivated polio-containing vaccine, 1st dose",85.04034743511139
"Pneumococcal conjugate vaccine, 2nd dose",84.98389642857143
Meningococcal ACYW conjugate vaccine,84.43363636363637
BCG (Baccille Calmette Guérin) vaccine,84.1459325605901
"Diphtheria-containing vaccine, 4th dose (1st booster)",83.67581712062257
"Pertussis-containing vaccine, 4th dose (1st booster)",83.3788888888889
"Hib, 3rd dose",82.97417933390265
"Rubella-containing vaccine, 1st dose",82.8037128429878
"Tetanus-containing vaccine, 4th dose (1st booster)",82.57466531440161
"HepB, 3rd dose",82.25698774202536
"Japanese encephalitis vaccine, 1st dose",82.19133333333333
"HepB, birth dose total (including those given within and after 24 hours of birth)",81.63124014336918
"Japanese encephalitis vaccine, last dose",81.41250000000001
"Polio, 3rd dose",81.09102807160293
"Rotavirus, 1st dose",80.87116226071102
"Diphtheria-containing vaccine, 5th dose (2nd booster)",80.55763029315962
"DTP-containing vaccine, 3rd dose",80.5079768950142
"Measles-containing vaccine, 2nd dose",80.25343966992051
"Measles-containing vaccine, 1st dose",79.45273968070147
"Tetanus-containing vaccine, 5th dose (2nd booster)",78.73096375617793
"Diphtheria-containing vaccine, 6th dose (3rd booster)",77.07037518037518
"Tetanus-containing vaccine, 6th dose (3rd booster)",76.68777472527472
"Pneumococcal conjugate vaccine, final dose",76.4642349137931
"HepB, birth dose (given within 24 hours of birth)",76.27575081864963
"Inactivated polio-containing vaccine, 2nd dose",74.72902557856273
"Malaria vaccine, 1st dose",74.548
"Meningococcal B vaccine, last dose",73.62913043478261
"Meningococcal ACYW conjugate vaccine, last dose",73.42410256410257
Influenza other,72.78309523809523
Meningococcal B vaccine,72.0675
"Fractional inactivated polio-containing vaccine, 1st dose",72.01371794871794
"Vitamin A, 1st dose",71.31175377969763
Typhoid conjugate vaccine,70.3062857142857
Influenza chronic pediatric,70.28919540229884
Influenza chronic adult,69.23104838709678
Influenza residents living in long term care facilities,68.94377049180328
Protection at birth (PAB) against neonatal tetanus,68.00544777475022
"Rotavirus, last dose",67.7723032725456
Influenza chronic children and adults,66.14035211267606
"Fractional inactivated polio-containing vaccine, 2nd dose",65.59428571428572
"HPV Female, final dose",62.194722932651324
Yellow fever vaccine,58.49050636749545
"Pertussis-containing vaccine, pregnant women",58.093199999999996
"Malaria vaccine, 3rd dose",57.438
Meningococcal A conjugate vaccine,57.13622009569378
"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",56.33588702559576
Influenza health care workers,55.58264264264265
Japanese encephalitis,51.35865336658354
Influenza child age group 2,49.310335570469796
Influenza child age group 1,48.16683098591549
"HPV Male, final dose",47.28969418960244
"HPV Vaccination program coverage, first dose, females",47.09183673469388
"Meningococcal A conjugate vaccine, last dose",46.21760765550239
"HPV Vaccination coverage by age 15, first dose, females",46.05830388692579
"Malaria vaccine, 4th dose",45.29
Influenza older persons,44.30550827423168
"HPV Vaccination coverage by age 15, last dose, females",38.697591436217664
"HPV Vaccination program coverage, last dose, females",38.21644413211525
Influenza pregnant women,37.444063604240284
Typhoid,27.30837837837838
Influenza all persons above >6 months (universal recommendation),26.915316455696203
Measles-containing vaccine 2nd dose by 2 years of age,25.610305958132045
"HPV Vaccination program coverage, first dose, males",23.348462664714496
"HPV Vaccination program coverage, last dose, males",17.87406296851574
"HPV Vaccination coverage by age 15, first dose, males",16.067019400352734
"HPV Vaccination coverage by age 15, last dose, males",12.82010582010582
