year,vaccine_name,coverage_percent
1980,BCG (Baccille Calmette Guérin) vaccine,8.0
1980,BCG (Baccille Calmette Guérin) vaccine,
1980,"DTP-containing vaccine, 1st dose",25.0
1980,"DTP-containing vaccine, 3rd dose",31.0
1980,"DTP-containing vaccine, 3rd dose",52.8
1980,"DTP-containing vaccine, 3rd dose",6.0
1980,"HepB, 3rd dose",
1980,"Hib, 3rd dose",
1980,"Measles-containing vaccine, 1st dose",
1980,"Measles-containing vaccine, 1st dose",
1980,"Measles-containing vaccine, 2nd dose",
1980,Protection at birth (PAB) against neonatal tetanus,20.0
1980,"Polio, 3rd dose",3.0
1980,"Polio, 3rd dose",42.2
1980,"Polio, 3rd dose",2.0
1980,"Rubella-containing vaccine, 1st dose",
1980,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",22.0
1980,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",22.0
1980,"Vitamin A, 1st dose",
1980,Yellow fever vaccine,
1981,BCG (Baccille Calmette Guérin) vaccine,12.0
1981,BCG (Baccille Calmette Guérin) vaccine,12.0
1981,BCG (Baccille Calmette Guérin) vaccine,4.0
1981,"DTP-containing vaccine, 1st dose",25.0
1981,"DTP-containing vaccine, 3rd dose",31.0
1981,"DTP-containing vaccine, 3rd dose",57.9
1981,"DTP-containing vaccine, 3rd dose",6.0
1981,"HepB, 3rd dose",
1981,"Hib, 3rd dose",
1981,"Measles-containing vaccine, 1st dose",0.0
1981,"Measles-containing vaccine, 1st dose",
1981,"Measles-containing vaccine, 2nd dose",
1981,Protection at birth (PAB) against neonatal tetanus,26.0
1981,"Polio, 3rd dose",7.0
1981,"Polio, 3rd dose",100.0
1981,"Polio, 3rd dose",2.0
1981,"Rubella-containing vaccine, 1st dose",
1981,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",24.0
1981,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",24.0
1981,"Vitamin A, 1st dose",
1981,Yellow fever vaccine,
1982,BCG (Baccille Calmette Guérin) vaccine,14.0
1982,BCG (Baccille Calmette Guérin) vaccine,27.5
1982,BCG (Baccille Calmette Guérin) vaccine,4.0
1982,"DTP-containing vaccine, 1st dose",33.0
1982,"DTP-containing vaccine, 3rd dose",37.0
1982,"DTP-containing vaccine, 3rd dose",74.0
1982,"DTP-containing vaccine, 3rd dose",12.0
1982,"HepB, 3rd dose",
1982,"Hib, 3rd dose",
1982,"Measles-containing vaccine, 1st dose",
1982,"Measles-containing vaccine, 1st dose",
1982,"Measles-containing vaccine, 2nd dose",
1982,Protection at birth (PAB) against neonatal tetanus,35.0
1982,"Polio, 3rd dose",12.0
1982,"Polio, 3rd dose",87.0
1982,"Polio, 3rd dose",8.0
1982,"Rubella-containing vaccine, 1st dose",
1982,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",30.0
1982,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",30.0
1982,"Vitamin A, 1st dose",
