disease_name,year,total_incidence
Congenital rubella syndrome,1997,36.4
Congenital rubella syndrome,1998,7.0
Congenital rubella syndrome,1999,38.0
Congenital rubella syndrome,2000,10.0
Congenital rubella syndrome,2001,5.9
Congenital rubella syndrome,2002,0.9
Congenital rubella syndrome,2003,4.8
Congenital rubella syndrome,2004,7.3
Congenital rubella syndrome,2005,1.2
Congenital rubella syndrome,2006,3.2
Congenital rubella syndrome,2007,1.8
Congenital rubella syndrome,2008,3.7
Congenital rubella syndrome,2009,70.1
Congenital rubella syndrome,2010,17.7
Congenital rubella syndrome,2011,3.1
Congenital rubella syndrome,2012,10.0
Congenital rubella syndrome,2013,4.0
Congenital rubella syndrome,2014,3.4
Congenital rubella syndrome,2015,4.5
Congenital rubella syndrome,2016,1.9000000000000001
Congenital rubella syndrome,2017,4.7
Congenital rubella syndrome,2018,3.3
Congenital rubella syndrome,2019,2.8000000000000003
Congenital rubella syndrome,2020,8.3
Congenital rubella syndrome,2021,4.8
Congenital rubella syndrome,2022,8.3
Congenital rubella syndrome,2023,11.8
Diphtheria,1980,3541.0
Diphtheria,1981,2059.6
Diphtheria,1982,2085.9
Diphtheria,1983,1511.5
Diphtheria,1984,1514.3
Diphtheria,1985,1439.3
Diphtheria,1986,783.2
Diphtheria,1987,697.0
Diphtheria,1988,627.7
Diphtheria,1989,925.8000000000001
Diphtheria,1990,404.3
Diphtheria,1991,7125.9
Diphtheria,1992,743.1
Diphtheria,1993,518.8
Diphtheria,1994,1438.3999999999999
Diphtheria,1995,2150.2
Diphtheria,1996,992.7
Diphtheria,1997,505.7
Diphtheria,1998,388.2
Diphtheria,1999,409.2
Diphtheria,2000,247.7
Diphtheria,2001,205.29999999999998
Diphtheria,2002,186.6
Diphtheria,2003,185.0
Diphtheria,2004,71.2
Diphtheria,2005,151.70000000000002
Diphtheria,2006,47.5
Diphtheria,2007,34.8
Diphtheria,2008,44.2
Diphtheria,2009,32.5
Diphtheria,2010,34.6
Diphtheria,2011,35.0
Diphtheria,2012,53.8
Diphtheria,2013,43.3
Diphtheria,2014,63.5
Diphtheria,2015,119.1
Diphtheria,2016,145.2
Diphtheria,2017,109.1
Diphtheria,2018,189.5
Diphtheria,2019,238.4
Diphtheria,2020,110.2
Diphtheria,2021,127.7
Diphtheria,2022,130.4
Diphtheria,2023,349.1
Invasive meningococcal disease,2020,3460.1
Invasive meningococcal disease,2021,758.6999999999999
Invasive meningococcal disease,2022,694.6
Invasive meningococcal disease,2023,313.9
Japanese encephalitis,2002,2.4000000000000004
Japanese encephalitis,2003,1.7999999999999998
Japanese encephalitis,2004,1.7999999999999998
Japanese encephalitis,2005,3.5999999999999996
Japanese encephalitis,2006,32.8
Japanese encephalitis,2007,66.2
Japanese encephalitis,2008,63.9
Japanese encephalitis,2009,39.6
Japanese encephalitis,2010,34.7
Japanese encephalitis,2011,26.1
Japanese encephalitis,2012,59.4
Japanese encephalitis,2013,27.0
Japanese encephalitis,2014,71.9
Japanese encephalitis,2015,64.7
Japanese encephalitis,2016,48.6
Japanese encephalitis,2017,37.6
Japanese encephalitis,2018,22.2
Japanese encephalitis,2019,48.3
Japanese encephalitis,2020,10.4
Japanese encephalitis,2021,6.3
Japanese encephalitis,2022,13.0
Japanese encephalitis,2023,13.6
Measles,1980,536471.3
Measles,1981,412760.7
Measles,1982,391955.7
Measles,1983,340130.3
Measles,1984,296071.2
Measles,1985,339382.5
Measles,1986,189635.4
Measles,1987,207289.9
Measles,1988,155368.3
Measles,1989,274625.5
Measles,1990,132961.9
Measles,1991,141287.1
Measles,1992,159413.4
Measles,1993,101763.3
Measles,1994,75272.9
Measles,1995,62201.1
Measles,1996,61587.3
Measles,1997,102005.2
Measles,1998,45979.299999999996
Measles,1999,53640.5
Measles,2000,40609.5
Measles,2001,45109.8
Measles,2002,32728.3
Measles,2003,51745.2
Measles,2004,24552.7
Measles,2005,17083.3
Measles,2006,6793.7
Measles,2007,4301.8
Measles,2008,3603.7000000000003
