country_name,total_incidence
Malawi,192909.0
Kiribati,188842.4
Tuvalu,137774.4
Angola,137256.2
Zambia,136035.6
Niger,128378.0
Kenya,125837.0
Oman,124681.4
Bhutan,122820.7
Cook Islands,118425.1
Eswatini,116491.7
Madagascar,116001.8
Burundi,115637.5
Cambodia,115466.5
Mauritania,97273.9
Ghana,89760.0
Cabo Verde,89554.2
Niue,89543.7
Solomon Islands,87831.1
Togo,81560.5
Maldives,80258.9
Rwanda,79582.7
Equatorial Guinea,77304.3
Vanuatu,76943.7
African Region,74051.4
Congo,69619.9
Papua New Guinea,67055.1
Gabon,65768.4
Mongolia,64584.6
Senegal,61180.9
Wallis and Futuna,58872.4
Burkina Faso,58522.3
Tonga,58478.2
Nauru,58005.2
Samoa,56794.6
Antigua and Barbuda,53568.49999999999
Democratic Republic of the Congo,52770.2
Zimbabwe,51161.2
Cameroon,50967.2
Albania,50959.5
Namibia,50188.5
Yemen,48683.4
Lesotho,48245.8
Côte d'Ivoire,47323.6
Chad,47099.5
Spain,46614.4
Guinea-Bissau,45987.2
Saudi Arabia,45895.1
Botswana,45496.5
Denmark,43907.7
Romania,43227.1
French Polynesia,42849.2
Tokelau,42016.6
Iraq,41741.9
Benin,41489.3
Liberia,41388.4
Nigeria,41013.5
Central African Republic,39913.9
Qatar,39339.2
United Republic of Tanzania,39333.6
Uganda,39083.9
Sierra Leone,38913.0
Nepal,36729.9
Marshall Islands,36670.4
Mali,35839.6
Serbia,35734.4
Switzerland,34797.9
Sao Tome and Principe,33618.4
Guinea,31902.4
Sudan,31855.7
New Caledonia,31369.2
Poland,29996.0
Saint Kitts and Nevis,29172.3
Djibouti,27662.8
European Region,26775.4
Afghanistan,26612.9
South Sudan,25994.2
Norway,25883.3
United Kingdom of Great Britain and Northern Ireland,25367.8
Viet Nam,25053.8
Morocco,24962.5
Russian Federation,24648.6
Mozambique,24246.5
Saint Lucia,24171.1
Global,24146.6
Grenada,22765.3
Republic of Moldova,22679.2
United Arab Emirates,22419.2
Jordan,22397.6
Ireland,22173.8
Venezuela (Bolivarian Republic of),22035.1
Sweden,21873.5
Belgium,20960.0
Ukraine,20714.9
Turks and Caicos Islands,20704.100000000002
Brunei Darussalam,20439.1
Bahrain,20292.0
Micronesia (Federated States of),20188.1
Eastern Mediterranean Region,19983.9
Italy,19437.0
Seychelles,19290.9
British Virgin Islands,19239.2
Bulgaria,19000.2
Western Pacific Region,18856.2
Philippines,18843.3
Trinidad and Tobago,18220.1
Malta,18093.3
Japan,17832.2
Chile,17608.3
Belarus,17550.2
Armenia,17467.3
Australia,17335.3
Gambia,17274.3
Argentina,17033.4
Panama,17009.2
Ethiopia,16885.0
Honduras,16602.4
Eritrea,16065.7
American Samoa,16008.2
Fiji,15994.2
Bahamas,15875.4
Lao People's Democratic Republic,15544.9
Somalia,15420.6
New Zealand,14661.9
South-East Asia Region,14306.6
Kazakhstan,14267.0
Thailand,14027.9
Georgia,14017.1
Uruguay,13817.699999999999
Comoros,13632.5
North Macedonia,13409.8
China,13298.1
Kyrgyzstan,12339.6
France,12135.7
Bosnia and Herzegovina,12058.300000000001
Guam,12054.800000000001
Dominican Republic,11907.0
Colombia,11668.7
Tajikistan,11549.7
Algeria,11455.1
Bolivia (Plurinational State of),11414.1
Iceland,11214.8
Myanmar,11207.1
Peru,11131.4
Saint Vincent and the Grenadines,10782.800000000001
El Salvador,10781.4
Israel,10652.5
Belize,10633.4
Pakistan,10497.9
Iran (Islamic Republic of),10359.2
Azerbaijan,10179.5
Türkiye,9959.5
Singapore,9935.4
Costa Rica,9852.7
Brazil,9749.3
Greece,9520.9
Netherlands (Kingdom of the),9507.0
India,9133.2
Jamaica,8976.9
Libya,8693.2
Indonesia,8583.5
Latvia,8414.8
Ecuador,8348.5
"China, Macao SAR",8342.1
Kuwait,8130.5
Estonia,8113.7
Guyana,8076.8
Region of the Americas,8048.2
Syrian Arab Republic,7964.0
Paraguay,7956.5
Sri Lanka,7825.7
Finland,7824.5
South Africa,7769.8
Canada,7454.0
Bangladesh,7237.9
Tunisia,6898.3
Dominica,6787.9
Guatemala,6614.8
Nicaragua,6530.2
San Marino,6454.8
Cuba,6438.2
Monaco,6397.599999999999
Malaysia,6242.2
Andorra,6033.0
Suriname,5824.900000000001
Palau,5801.299999999999
Mexico,5632.7
Czechia,5516.3
Haiti,5172.3
Turkmenistan,5172.2
Republic of Korea,5075.7
Egypt,4398.8
Lithuania,4339.0
Northern Mariana Islands,4300.5
Portugal,3869.8
Uzbekistan,3836.2
Croatia,3729.2999999999997
Luxembourg,3548.6
Anguilla,3325.4
Slovenia,3288.4
Slovakia,3223.0
Lebanon,3051.7
Bermuda,3041.4
"China, Hong Kong SAR",2980.2
Cayman Islands,2798.3
Austria,2409.9
Germany,2179.1
United States of America,2093.5
"occupied Palestinian territory, including east Jerusalem",1966.8
Hungary,1774.7
Montenegro,1674.8
Democratic People's Republic of Korea,1593.8
Timor-Leste,1587.3
Mauritius,1116.2
Barbados,1107.3
Montserrat,893.9000000000001
Cyprus,845.0
Aruba,149.8
Curaçao,39.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),28.700000000000003
Sint Maarten (Dutch part),25.2
