country_name,total_cases
Global,97587219
African Region,33752091
Western Pacific Region,22541307
European Region,15853904
China,15411329
South-East Asia Region,13564431
India,8591314
Eastern Mediterranean Region,6412000
Region of the Americas,5463486
Nigeria,4220814
Democratic Republic of the Congo,4172139
Russian Federation,3610438
Angola,3252407
Kenya,2805376
Japan,2268649
Spain,1816802
Ghana,1811360
Indonesia,1666860
Viet Nam,1512784
Ethiopia,1507233
Malawi,1501423
United Kingdom of Great Britain and Northern Ireland,1458185
Madagascar,1442907
Brazil,1375019
United Republic of Tanzania,1280700
Philippines,1201488
Pakistan,1199136
Niger,1181669
Poland,1137574
Italy,1109436
Uganda,1038790
Nepal,1008476
Ukraine,1005601
Zambia,1005109
Romania,940125
Côte d'Ivoire,904244
Iraq,891783
Bangladesh,827429
Thailand,796347
Burkina Faso,721580
France,708279
Yemen,706416
Cambodia,706118
Sudan,652499
United States of America,611974
Burundi,600904
Türkiye,587079
Argentina,582946
Cameroon,565116
Morocco,537882
Senegal,526549
Iran (Islamic Republic of),508775
Mexico,503388
Mali,501550
Zimbabwe,495903
Rwanda,483390
Venezuela (Bolivarian Republic of),449779
Colombia,421786
Myanmar,411444
Afghanistan,381009
Australia,374663
Saudi Arabia,372629
Chad,372097
Egypt,359405
Mozambique,351158
South Africa,303883
Togo,287996
Papua New Guinea,286715
South Sudan,286699
Serbia,279224
Algeria,275514
Sierra Leone,257925
Switzerland,253597
Chile,251239
Republic of Korea,241148
Kazakhstan,232530
Peru,228816
Denmark,227317
Guinea,218267
Canada,216853
Belgium,212077
Benin,208566
Somalia,188245
Sweden,188025
Germany,176707
Belarus,174805
Mauritania,173358
Oman,169694
Albania,164933
Mongolia,157675
Netherlands (Kingdom of the),156995
Congo,155457
Bulgaria,153183
Central African Republic,146990
Sri Lanka,134085
Syrian Arab Republic,126418
Norway,117713
Malaysia,116167
Liberia,108710
Jordan,108691
Eswatini,105600
Uzbekistan,98007
Greece,95525
Ecuador,93812
Honduras,91365
Republic of Moldova,91346
Dominican Republic,87855
Bolivia (Plurinational State of),87283
Azerbaijan,85066
Namibia,84977
Ireland,83915
Lesotho,79440
Tajikistan,74807
Lao People's Democratic Republic,73065
Bhutan,69862
Kyrgyzstan,69182
Israel,65040
Cuba,64211
Gabon,62410
New Zealand,60768
Guatemala,58221
Czechia,57476
Georgia,56975
Tunisia,56827
Botswana,56449
El Salvador,54906
Armenia,54109
Guinea-Bissau,46640
Bosnia and Herzegovina,46104
Uruguay,43360
Eritrea,42965
Libya,41738
Panama,40663
United Arab Emirates,40524
Cabo Verde,39548
Portugal,39220
Finland,39116
Equatorial Guinea,38182
Singapore,37959
Haiti,35739
Democratic People's Republic of Korea,35234
Paraguay,34988
Costa Rica,32342
North Macedonia,27393
Solomon Islands,26943
Nicaragua,25875
Turkmenistan,22210
Maldives,21616
Trinidad and Tobago,21509
Austria,20558
Jamaica,20555
Latvia,19253
Hungary,18775
Qatar,18149
"China, Hong Kong SAR",17425
Slovakia,17413
Gambia,16982
Croatia,15947
Lebanon,15749
Kuwait,14789
Lithuania,14680
Kiribati,13846
Djibouti,12780
Fiji,12152
Estonia,11241
Samoa,11149
Vanuatu,10593
Guyana,9128
"occupied Palestinian territory, including east Jerusalem",8986
Bahrain,8862
French Polynesia,7708
Slovenia,6670
Malta,6514
Comoros,6144
Tonga,5812
New Caledonia,5041
Brunei Darussalam,4442
Sao Tome and Principe,4160
Bahamas,3901
Antigua and Barbuda,3567
"China, Macao SAR",3365
Saint Lucia,2999
Iceland,2822
Suriname,2283
Micronesia (Federated States of),2166
Grenada,2155
Cook Islands,1991
Guam,1900
Belize,1821
Timor-Leste,1764
Marshall Islands,1691
Seychelles,1437
Luxembourg,1407
Mauritius,1374
Saint Kitts and Nevis,1234
Saint Vincent and the Grenadines,1141
Tuvalu,1117
Montenegro,1052
Cyprus,744
American Samoa,742
Wallis and Futuna,685
Nauru,564
Dominica,490
Andorra,333
British Virgin Islands,287
Barbados,283
Niue,218
Monaco,198
Northern Mariana Islands,196
Turks and Caicos Islands,182
San Marino,181
Bermuda,172
Palau,95
Tokelau,73
Cayman Islands,60
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),49
Anguilla,27
Aruba,16
Montserrat,10
Curaçao,7
Sint Maarten (Dutch part),1
